barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9342373000456,Coles Strawberries Premium | 350g,coles,22355,5707745,VIC,800,900,2286,2571,350g,https://www.coles.com.au/product/coles-strawberries-premium-350g-5707745,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5707745.jpg&w=640&q=90
9342373000456,Coles Strawberries Premium | 350g,coles,22355,5707745,NSW,800,900,2286,2571,350g,https://www.coles.com.au/product/coles-strawberries-premium-350g-5707745,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5707745.jpg&w=640&q=90
9342373000456,Coles Strawberries Premium | 350g,coles,22355,5707745,QLD,900,900,2571,2571,350g,https://www.coles.com.au/product/coles-strawberries-premium-350g-5707745,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5707745.jpg&w=640&q=90
9342373000456,Coles Strawberries Premium | 350g,coles,22355,5707745,ACT,800,900,2286,2571,350g,https://www.coles.com.au/product/coles-strawberries-premium-350g-5707745,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5707745.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,VIC,290,290,290,290,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,NSW,280,280,280,280,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,QLD,250,250,250,250,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,WA,290,290,290,290,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,SA,290,290,290,290,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,TAS,250,290,250,290,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
