barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9332586444536,Fisher-Price Digital Thermometer | 1 each,coles,23821,3505772,NSW,720,900,720,900,1each,https://www.coles.com.au/product/fisher-price-digital-thermometer-1-each-3505772,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505772.jpg&w=640&q=90
4895248002109,Rascals Premium Sensitive Wipes Plastic Free Cloth | 80 Pack,coles,22059,3505932,NSW,250,500,313,625,80pack,https://www.coles.com.au/product/rascals-premium-sensitive-wipes-plastic-free-cloth-80-pack-3505932,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505932.jpg&w=640&q=90
9349649000660,Infacol Wind Drops | 50mL,coles,23821,3506902,NSW,1550,1850,3100,3700,50ml,https://www.coles.com.au/product/infacol-wind-drops-50ml-3506902,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3506902.jpg&w=640&q=90
9318637044009,Cetaphil Baby Wash & Shampoo | 400mL,coles,23821,3508850,NSW,1580,945,395,236,400ml,https://www.coles.com.au/product/cetaphil-baby-wash-and-shampoo-400ml-3508850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3508850.jpg&w=640&q=90
9353965019008,B.box Sippy Cup For Kids | 1 each,coles,23827,3510207,NSW,1650,1320,1650,1320,1each,https://www.coles.com.au/product/b.box-sippy-cup-for-kids-1-each-3510207,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3510207.jpg&w=640&q=90
7322541105055,Tena Discreet  ... 9 pack,coles,24064,3512100,NSW,1385,1980,154,220,9pack,https://www.coles.com.au/product/tena-discreet-creme-super-incontinence-pants-medium-9-pack-3512100,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3512100.jpg&w=640&q=90
7322541105147,Tena Discreet  ... 8 pack,coles,24064,3512155,NSW,1385,1980,173,248,8pack,https://www.coles.com.au/product/tena-discreet-super-creme-incontinence-pants-large-8-pack-3512155,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3512155.jpg&w=640&q=90
9340156058915,Rafferty's Garden Chicken Peas & Wholemeal Pasta Baby Food Pouch 6+ Months | 120g,coles,22026,3620238,NSW,215,180,179,150,120g,https://www.coles.com.au/product/rafferty's-garden-chicken-peas-and-wholemeal-pasta-baby-food-pouch-6+-months-120g-3620238,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3620238.jpg&w=640&q=90
9403145304872,Only Organic Banana Mixed Berry Coconut Chia | 100g,coles,22026,3772473,NSW,250,285,250,285,100g,https://www.coles.com.au/product/only-organic-banana-mixed-berry-coconut-chia-100g-3772473,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3772473.jpg&w=640&q=90
9310320002464,Curash Simply Water Sensitive Skin Baby Wipes | 240 pack,coles,22059,3779235,NSW,1230,1760,513,733,240pack,https://www.coles.com.au/product/curash-simply-water-sensitive-skin-baby-wipes-240-pack-3779235,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3779235.jpg&w=640&q=90
