Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
8001585001040,Balconi Mix Max Cocoa Cakes 10 pack | 350g,coles,22076,5088122,NSW,725,770,207,220,350g,https://www.coles.com.au/product/balconi-mix-max-cocoa-cakes-10-pack-350g-5088122,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5088122.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,QLD,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,SA,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,ACT,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,NT,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9326300001716,Coles King Edwards Brushed Potato | 2kg,coles,22389,2515748,TAS,550,750,275,375,2kg,https://www.coles.com.au/product/coles-king-edwards-brushed-potato-2kg-2515748,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2515748.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,NSW,,700,,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,VIC,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,QLD,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,SA,790,790,395,395,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,ACT,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
