barcode,name,shop,category_id,source_id,state,old_price,new_price,weight,source_url,,,image_url
5.00022E+12,Mr Kipling Lemon Slice 6 pack,Woolworths,22076,607942,NSW,300,600,6 pack,https://www.woolworths.com.au/shop/productdetails/607942/mr-kipling-lemon-slice,,,https://cdn0.woolworths.media/content/wowproductimages/large/607942.jpg
5.00022E+12,Mr Kipling Salted Caramel Slice 6 pack,Woolworths,22076,917953,NSW,300,600,6 pack,https://www.woolworths.com.au/shop/productdetails/917953/mr-kipling-salted-caramel-slice,,,https://cdn0.woolworths.media/content/wowproductimages/large/917953.jpg
9.35001E+12,Petite Maison French Macarons 24 pack,Woolworths,22076,58240,NSW,2100,1900,24 pack,https://www.woolworths.com.au/shop/productdetails/58240/petite-maison-french-macarons,,,https://cdn0.woolworths.media/content/wowproductimages/large/058240.jpg
9.30063E+12,Woolworths Double Unfilled Sponge 460g,Woolworths,22076,260722,NSW,665,700,460g,https://www.woolworths.com.au/shop/productdetails/260722/woolworths-double-unfilled-sponge,,,https://cdn0.woolworths.media/content/wowproductimages/large/260722.jpg
5.39152E+12,Bfree Pita Pockets 6 pack,Woolworths,22079,57631,NSW,700,600,6 pack,https://www.woolworths.com.au/shop/productdetails/57631/bfree-pita-pockets,,,https://cdn0.woolworths.media/content/wowproductimages/large/057631.jpg
9.33969E+12,Woolworths Lemon Poppyseed Muffins 4 pack,Woolworths,22081,169921,NSW,700,700,4 pack,https://www.woolworths.com.au/shop/productdetails/169921/woolworths-lemon-poppyseed-muffins,,,https://cdn0.woolworths.media/content/wowproductimages/large/169921.jpg
9.33969E+12,Woolworths Loaded Carrot Cake Muffin 4 pack,Woolworths,22081,250641,NSW,700,700,4 pack,https://www.woolworths.com.au/shop/productdetails/250641/woolworths-loaded-carrot-cake-muffin,,,https://cdn0.woolworths.media/content/wowproductimages/large/250641.jpg
9.33969E+12,Woolworths Raspberry & White Choc Loaded Muffins 4 pack,Woolworths,22081,118177,NSW,700,700,4 pack,https://www.woolworths.com.au/shop/productdetails/118177/woolworths-raspberry-white-choc-loaded-muffins,,,https://cdn0.woolworths.media/content/wowproductimages/large/118177.jpg
3.58722E+12,Brioche Gourmet Hot Dog Rolls 6 pack,Woolworths,22083,803928,NSW,650,585,6 pack,https://www.woolworths.com.au/shop/productdetails/803928/brioche-gourmet-hot-dog-rolls,,,https://cdn0.woolworths.media/content/wowproductimages/large/803928.jpg
9.31002E+12,Wonder Sandwich White Mini Loaf 320g,Woolworths,22083,103726,NSW,310,350,320g,https://www.woolworths.com.au/shop/productdetails/103726/wonder-sandwich-white-mini-loaf,,,https://cdn0.woolworths.media/content/wowproductimages/large/103726.jpg
