barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,VIC,,590,,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,NSW,500,500,63,63,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,QLD,,500,,63,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,WA,,650,,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,SA,,590,,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,TAS,,590,,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,ACT,,500,,63,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,NT,,590,,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9416050108015,Coles Dried Mango Slices | approx. 100g,coles,22776,1944206,NSW,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-dried-mango-slices-approx.-100g-1944206,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1944206.jpg&w=640&q=90
9416050108015,Coles Dried Mango Slices | approx. 100g,coles,22776,1944206,QLD,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-dried-mango-slices-approx.-100g-1944206,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1944206.jpg&w=640&q=90
9416050108015,Coles Dried Mango Slices | approx. 100g,coles,22776,1944206,WA,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-dried-mango-slices-approx.-100g-1944206,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1944206.jpg&w=640&q=90
9416050108015,Coles Dried Mango Slices | approx. 100g,coles,22776,1944206,SA,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-dried-mango-slices-approx.-100g-1944206,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1944206.jpg&w=640&q=90
9416050108015,Coles Dried Mango Slices | approx. 100g,coles,22776,1944206,TAS,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-dried-mango-slices-approx.-100g-1944206,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1944206.jpg&w=640&q=90
