barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9310645101422,Coles Dried Apricot Nut | 400g,coles,22355,2149231,VIC,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22355,2149231,NSW,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22355,2149231,QLD,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22355,2149231,WA,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22355,2149231,SA,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22355,2149231,TAS,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22355,2149231,ACT,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22355,2149231,NT,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9334573000237,Coles Trimmed Celery Prepacked | 1 each,coles,22383,2386281,VIC,420,420,420,420,1each,https://www.coles.com.au/product/coles-trimmed-celery-prepacked-1-each-2386281,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2386281.jpg&w=640&q=90
9334573000237,Coles Trimmed Celery Prepacked | 1 each,coles,22383,2386281,NSW,420,420,420,420,1each,https://www.coles.com.au/product/coles-trimmed-celery-prepacked-1-each-2386281,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2386281.jpg&w=640&q=90
9334573000237,Coles Trimmed Celery Prepacked | 1 each,coles,22383,2386281,QLD,420,420,420,420,1each,https://www.coles.com.au/product/coles-trimmed-celery-prepacked-1-each-2386281,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2386281.jpg&w=640&q=90
