barcode,name,shop,category_id,source_id,weight,source_url,image_url
9403145303417,Only Organic Carrots Red Lentils & Cheddar Bab ... 120g,coles,22023,8988935,120g,https://www.coles.com.au/product/only-organic-carrots-red-lentils-and-cheddar-baby-food-pouch-8+-months-120g-8988935,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8988935.jpg&w=640&q=90
9403145303417,Only Organic 8 Months+ Carrot Red Lentils & Cheddar 120g,Woolworths,22023,710425,120G,https://www.woolworths.com.au/shop/productdetails/710425/only-organic-8-months-carrot-red-lentils-cheddar,https://cdn0.woolworths.media/content/wowproductimages/large/710425.jpg
9403145303202,Only Organic Mango & Yoghurt Brekkie Baby Food Pouch 8+ Months | 120g,coles,22023,2134336,120g,https://www.coles.com.au/product/only-organic-mango-and-yoghurt-brekkie-baby-food-pouch-8+-months-120g-2134336,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2134336.jpg&w=640&q=90
9403145303202,Only Organic 8 Months+ Mango & Yoghurt Brekkie 120g,Woolworths,22023,372450,120G,https://www.woolworths.com.au/shop/productdetails/372450/only-organic-8-months-mango-yoghurt-brekkie,https://cdn0.woolworths.media/content/wowproductimages/large/372450.jpg
9403145305152,Only Organic Apple Blueberry Blackberry Oat Prebiotics 8+ Months | 120g,coles,22023,4163051,120g,https://www.coles.com.au/product/only-organic-apple-blueberry-blackberry-oat-prebiotics-8+-months-120g-4163051,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4163051.jpg&w=640&q=90
9403145305152,Only Organic Apple Blueberry Blackberry & Oats 120g,Woolworths,22023,203454,120g,https://www.woolworths.com.au/shop/productdetails/203454/only-organic-apple-blueberry-blackberry-oats,https://cdn0.woolworths.media/content/wowproductimages/large/203454.jpg
9403145304681,Only Organic Bolognese Pasta 8 + Months | 170g,coles,22023,6438172,170g,https://www.coles.com.au/product/only-organic-bolognese-pasta-8-+-months-170g-6438172,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6438172.jpg&w=640&q=90
9403145304681,Only Organic Pasta Bolognese 170g,Woolworths,22023,660268,170G,https://www.woolworths.com.au/shop/productdetails/660268/only-organic-pasta-bolognese,https://cdn0.woolworths.media/content/wowproductimages/large/660268.jpg
9403145305169,Only Organic Pear Gold Kiwifruit & Oats Baby Food Po ... 120g,coles,22023,5044069,120g,https://www.coles.com.au/product/only-organic-pear-gold-kiwifruit-and-oats-baby-food-pouch-8+-months-120g-5044069,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5044069.jpg&w=640&q=90
9403145305169,Only Organic Pear Gold Kiwifruit & Oats With Prebiotics 8+ Months 120g,Woolworths,22023,223937,120g,https://www.woolworths.com.au/shop/productdetails/223937/only-organic-pear-gold-kiwifruit-oats-with-prebiotics-8-months,https://cdn0.woolworths.media/content/wowproductimages/large/223937.jpg
9403145304698,Only Organic Pumpkin Potato & Beef Baby Fo ... 170g,coles,22023,3288787,170g,https://www.coles.com.au/product/only-organic-pumpkin-potato-and-beef-baby-food-8+-months-170g-3288787,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3288787.jpg&w=640&q=90
9403145304698,Only Organic Pumpkin Potato & Beef 8+ Months 170g,Woolworths,22023,659823,170G,https://www.woolworths.com.au/shop/productdetails/659823/only-organic-pumpkin-potato-beef-8-months,https://cdn0.woolworths.media/content/wowproductimages/large/659823.jpg
9340156000518,Rafferty's Garden Apple Pear & Cinnamon Porridge Baby Food Pouch 6+ Months | 120g,coles,22023,3609803,120g,https://www.coles.com.au/product/rafferty's-garden-apple-pear-and-cinnamon-porridge-baby-food-pouch-6+-months-120g-3609803,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3609803.jpg&w=640&q=90
