Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,QLD,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,SA,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,ACT,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,NT,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,NSW,,290,,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,VIC,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,QLD,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,SA,790,790,395,395,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,ACT,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,NSW,,700,,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
