Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9310645349862,Coles Kitchen Classic Vegetable Stir Fry | 750g,coles,22390,4462223,NSW,650,650,867,867,750g,https://www.coles.com.au/product/coles-kitchen-classic-vegetable-stir-fry-750g-4462223,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4462223.jpg&w=640&q=90
9310645349862,Coles Kitchen Classic Vegetable Stir Fry | 750g,coles,22390,4462223,VIC,650,650,867,867,750g,https://www.coles.com.au/product/coles-kitchen-classic-vegetable-stir-fry-750g-4462223,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4462223.jpg&w=640&q=90
9310645349862,Coles Kitchen Classic Vegetable Stir Fry | 750g,coles,22390,4462223,QLD,650,650,867,867,750g,https://www.coles.com.au/product/coles-kitchen-classic-vegetable-stir-fry-750g-4462223,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4462223.jpg&w=640&q=90
9310645349862,Coles Kitchen Classic Vegetable Stir Fry | 750g,coles,22390,4462223,SA,650,650,867,867,750g,https://www.coles.com.au/product/coles-kitchen-classic-vegetable-stir-fry-750g-4462223,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4462223.jpg&w=640&q=90
9310645349862,Coles Kitchen Classic Vegetable Stir Fry | 750g,coles,22390,4462223,TAS,650,650,867,867,750g,https://www.coles.com.au/product/coles-kitchen-classic-vegetable-stir-fry-750g-4462223,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4462223.jpg&w=640&q=90
9310645349862,Coles Kitchen Classic Vegetable Stir Fry | 750g,coles,22390,4462223,ACT,650,650,867,867,750g,https://www.coles.com.au/product/coles-kitchen-classic-vegetable-stir-fry-750g-4462223,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4462223.jpg&w=640&q=90
9310645349862,Coles Kitchen Classic Vegetable Stir Fry | 750g,coles,22390,4462223,NT,,650,,867,750g,https://www.coles.com.au/product/coles-kitchen-classic-vegetable-stir-fry-750g-4462223,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4462223.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,NSW,700,700,1750,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,NT,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,ACT,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,TAS,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,SA,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,WA,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,QLD,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645101422,Coles Dried Apricot Nut | 400g,coles,22781,2149231,VIC,,700,,1750,400g,https://www.coles.com.au/product/coles-dried-apricot-nut-400g-2149231,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2149231.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,NSW,750,750,3304,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,NT,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,ACT,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,TAS,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,SA,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,WA,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,QLD,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,VIC,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
