Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,WA,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,SA,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,TAS,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,ACT,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,NT,,500,,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9369998054930,Coles Hass Avocados | 1 Each,coles,22380,5900530,VIC,250,250,250,250,1each,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5900530.jpg&w=640&q=90
9369998054930,Coles Hass Avocados | 1 Each,coles,22380,5900530,NSW,250,250,250,250,1each,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5900530.jpg&w=640&q=90
9369998054930,Coles Hass Avocados | 1 Each,coles,22380,5900530,QLD,180,180,180,180,1each,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5900530.jpg&w=640&q=90
9369998054930,Coles Hass Avocados | 1 Each,coles,22380,5900530,WA,180,180,180,180,1each,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5900530.jpg&w=640&q=90
9369998054930,Coles Hass Avocados | 1 Each,coles,22380,5900530,SA,220,220,220,220,1each,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5900530.jpg&w=640&q=90
9369998054930,Coles Hass Avocados | 1 Each,coles,22380,5900530,TAS,180,180,180,180,1each,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5900530.jpg&w=640&q=90
9369998054930,Coles Hass Avocados | 1 Each,coles,22380,5900530,ACT,250,250,250,250,1each,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5900530.jpg&w=640&q=90
9369998054930,Coles Hass Avocados | 1 Each,coles,22380,5900530,NT,,220,,220,1each,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5900530.jpg&w=640&q=90
