barcode,,name,shop,category_id,source_id,weight,source_url,image_url
5.01E+12,1300|650 100ML,Pro:Voke Touch Of Silver Intensive Purple Conditioner 200mL,Woolworths,23904,857439,200mL,https://www.woolworths.com.au/shop/productdetails/857439/pro-voke-touch-of-silver-intensive-purple-conditioner,https://cdn0.woolworths.media/content/wowproductimages/large/857439.jpg
9.31E+12,,Schwarzkopf Extra Care Colour Perfector P ... 400mL,coles,23904,4454087,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-colour-perfector-protecting-conditioner-400ml-4454087,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4454087.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Colour Protecting Conditioner For Coloured Hair 400mL,Woolworths,23904,153390,400mL,https://www.woolworths.com.au/shop/productdetails/153390/schwarzkopf-extra-care-colour-protecting-conditioner-for-coloured-hair,https://cdn0.woolworths.media/content/wowproductimages/large/153390.jpg
9.31E+12,,Schwarzkopf Extra Care Colour Perfector P ... 400mL,coles,23904,4453889,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-colour-perfector-protecting-shampoo-400ml-4453889,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4453889.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Colour Protecting Shampoo For Coloured Hair 400mL,Woolworths,23904,153239,400mL,https://www.woolworths.com.au/shop/productdetails/153239/schwarzkopf-extra-care-colour-protecting-shampoo-for-coloured-hair,https://cdn0.woolworths.media/content/wowproductimages/large/153239.jpg
9.31E+12,,Schwarzkopf Extra Care Liquid Silk Smoothing  ... 400mL,coles,23904,4454065,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-liquid-silk-smoothing-shampoo-400ml-4454065,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4454065.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Liquid Silk Smooth Shampoo For Dull Hair 400mL,Woolworths,23904,186192,400mL,https://www.woolworths.com.au/shop/productdetails/186192/schwarzkopf-extra-care-liquid-silk-smooth-shampoo-for-dull-hair,https://cdn0.woolworths.media/content/wowproductimages/large/186192.jpg
9.31E+12,,Schwarzkopf Extra Care Aqua Revive Moisturisin ... 400mL,coles,23904,4959094,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-aqua-revive-moisturising-shampoo-400ml-4959094,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4959094.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Moisturising Shampoo For Dry Hair 400mL,Woolworths,23904,197807,400mL,https://www.woolworths.com.au/shop/productdetails/197807/schwarzkopf-extra-care-moisturising-shampoo-for-dry-hair,https://cdn0.woolworths.media/content/wowproductimages/large/197807.jpg
9.31E+12,,Schwarzkopf Extra Care Push Up Volume Lift ... 400mL,coles,23904,4454247,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-push-up-volume-lifting-conditioner-400ml-4454247,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4454247.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Push Up Volume Conditioner For Fine Hair 400mL,Woolworths,23904,164988,400mL,https://www.woolworths.com.au/shop/productdetails/164988/schwarzkopf-extra-care-push-up-volume-conditioner-for-fine-hair,https://cdn0.woolworths.media/content/wowproductimages/large/164988.jpg
9.31E+12,,Schwarzkopf Extra Care Push Up Volume Lift ... 400mL,coles,23904,4454043,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-push-up-volume-lifting-shampoo-400ml-4454043,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4454043.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Push Up Volume Shampoo For Fine Hair 400mL,Woolworths,23904,164987,400mL,https://www.woolworths.com.au/shop/productdetails/164987/schwarzkopf-extra-care-push-up-volume-shampoo-for-fine-hair,https://cdn0.woolworths.media/content/wowproductimages/large/164987.jpg
9.31E+12,,Schwarzkopf Extra Care Marrakesh Oil & Coconut Re ... 400mL,coles,23904,4454076,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-marrakesh-oil-and-coconut-replenishing-conditioner-400ml-4454076,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4454076.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Soft Conditioner Marrakesh Oil For Dry Hair 400mL,Woolworths,23904,153108,400mL,https://www.woolworths.com.au/shop/productdetails/153108/schwarzkopf-extra-care-soft-conditioner-marrakesh-oil-for-dry-hair,https://cdn0.woolworths.media/content/wowproductimages/large/153108.jpg
9.31E+12,,Schwarzkopf Extra Care Marrakesh Oil & Coconut Re ... 950mL,coles,23904,4453834,950ml,https://www.coles.com.au/product/schwarzkopf-extra-care-marrakesh-oil-and-coconut-replenishing-conditioner-950ml-4453834,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4453834.jpg&w=640&q=90
9.31E+12,"$19.00
$2.00 / 100ML",Schwarzkopf Extra Care Soft Conditioner Marrakesh Oil For Dry Hair 950mL,Woolworths,23904,152976,950mL,https://www.woolworths.com.au/shop/productdetails/152976/schwarzkopf-extra-care-soft-conditioner-marrakesh-oil-for-dry-hair,https://cdn0.woolworths.media/content/wowproductimages/large/152976.jpg
9.31E+12,,Schwarzkopf Extra Care Marrakesh Oil & Coconut Re ... 950mL,coles,23904,4453801,950ml,https://www.coles.com.au/product/schwarzkopf-extra-care-marrakesh-oil-and-coconut-replenishing-shampoo-950ml-4453801,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4453801.jpg&w=640&q=90
9.31E+12,"$19.00
$2.00 / 100ML",Schwarzkopf Extra Care Soft Shampoo Marrakesh Oil For Dry Hair 950mL,Woolworths,23904,152548,950mL,https://www.woolworths.com.au/shop/productdetails/152548/schwarzkopf-extra-care-soft-shampoo-marrakesh-oil-for-dry-hair,https://cdn0.woolworths.media/content/wowproductimages/large/152548.jpg
