Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9323119000244,Coles Gold Kiwifruit | 1 Each,coles,22362,6979376,TAS,,170,,170,1each,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6979376.jpg&w=640&q=90
9323119000244,Coles Gold Kiwifruit | 1 Each,coles,22362,6979376,ACT,170,170,170,170,1each,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6979376.jpg&w=640&q=90
9323119000244,Coles Gold Kiwifruit | 1 Each,coles,22362,6979376,NT,170,170,170,170,1each,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6979376.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,VIC,590,590,74,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,NSW,650,650,81,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,QLD,650,650,81,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,WA,650,650,81,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,SA,,650,,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,TAS,,650,,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,ACT,650,650,81,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
